date,Open,High,Low,Close,Adj Close,Volume,DollarPrice,DollarChangeRate,OilPrice,OilChangeRate,Interest,InterestRateChange,copper,copperChangeRate,nextdayprice,result
2018-01-02,86.129997,86.309998,85.5,85.949997,80.738167,22483800,91.87,-0.41,60.37,0.22,1.42,6.77,3.278,-0.68,86.349998,1
2018-01-03,86.059998,86.510002,85.970001,86.349998,81.113922,26061400,92.16,0.32,61.63,2.09,1.42,0,3.2575,-0.63,87.110001,1
2018-01-04,86.589996,87.660004,86.57,87.110001,81.827812,21912000,91.85,-0.34,62.01,0.62,1.42,0,3.263,0.17,88.190002,1
2018-01-05,87.660004,88.410004,87.43,88.190002,82.842346,23407100,91.95,0.11,61.44,-0.92,1.42,0,3.2295,-1.03,88.279999,1
2018-01-08,88.199997,88.580002,87.599998,88.279999,82.92688,22113000,92.36,0.45,61.73,0.47,1.42,0,3.224,-0.17,88.220001,0
2018-01-09,88.650002,88.730003,87.860001,88.220001,82.870544,19484300,92.53,0.18,62.96,1.99,1.42,0,3.216,-0.25,87.82,0
2018-01-10,87.860001,88.190002,87.410004,87.82,82.494774,18652200,92.33,-0.22,63.57,0.97,1.42,0,3.2355,0.61,88.080002,1
2018-01-11,88.129997,88.129997,87.239998,88.080002,82.739029,17808900,91.85,-0.52,63.8,0.36,1.42,0,3.233,-0.08,89.599998,1
2018-01-12,88.669998,89.779999,88.449997,89.599998,84.166832,24271500,90.97,-0.96,64.3,0.78,1.42,0,3.2185,-0.45,88.349998,0
2018-01-16,90.099998,90.790001,88.010002,88.349998,82.992622,36599700,90.39,-0.64,63.73,-1.54,1.42,0,3.2195,0.03,90.139999,1
2018-01-17,89.080002,90.279999,88.75,90.139999,84.67408,25621200,90.54,0.17,63.97,0.38,1.42,0,3.189,-0.95,90.099998,0
2018-01-18,89.800003,90.669998,89.660004,90.099998,84.636497,24159700,90.5,-0.04,63.95,-0.03,1.42,0,3.199,0.31,90,0
2018-01-19,90.139999,90.610001,89.660004,90,84.542572,36875000,90.57,0.08,63.37,-0.91,1.42,0,3.1875,-0.36,91.610001,1
2018-01-22,90,91.620003,89.739998,91.610001,86.054962,23601600,90.4,-0.19,63.49,0.19,1.42,0,3.1985,0.35,91.900002,1
2018-01-23,91.900002,92.300003,91.540001,91.900002,86.327362,23412800,90.12,-0.31,64.47,1.54,1.42,0,3.111,-2.74,91.82,0
2018-01-24,92.550003,93.43,91.580002,91.82,86.252205,33277500,89.21,-1.01,65.61,1.77,1.42,0,3.2285,3.78,92.330002,1
2018-01-25,92.470001,93.239998,91.93,92.330002,86.731285,26383200,89.39,0.2,65.51,-0.15,1.42,0,3.2165,-0.37,94.059998,1
2018-01-26,93.120003,94.059998,92.580002,94.059998,88.356377,29172200,89.07,-0.36,66.14,0.96,1.42,0,3.199,-0.54,93.919998,0
2018-01-29,95.139999,95.449997,93.720001,93.919998,88.224876,31569900,89.31,0.27,65.56,-0.88,1.42,0,3.194,-0.16,92.739998,0
2018-01-30,93.300003,93.660004,92.099998,92.739998,87.116425,38635100,89.16,-0.17,64.5,-1.62,1.42,0,3.1995,0.17,95.010002,1
2018-01-31,93.75,95.400002,93.510002,95.010002,89.248779,48756300,89.13,-0.03,64.73,0.36,1.34,-5.63,3.2065,0.22,94.260002,0
2018-02-01,94.790001,96.07,93.580002,94.260002,88.544258,47227900,88.67,-0.52,65.8,1.65,1.42,5.97,3.22,0.42,91.779999,0
2018-02-02,93.639999,93.970001,91.5,91.779999,86.214653,47867800,89.19,0.59,65.45,-0.53,1.42,0,3.198,-0.68,88,0
2018-02-05,90.559998,93.239998,88,88,82.663849,51031500,89.55,0.4,64.15,-1.99,1.42,0,3.2315,1.05,91.330002,1
2018-02-06,86.889999,91.480003,85.25,91.330002,85.791931,67998600,89.58,0.03,63.39,-1.18,1.42,0,3.2,-0.97,89.610001,0
2018-02-07,90.489998,91.769997,89.199997,89.610001,84.176231,41107600,90.25,0.75,61.79,-2.52,1.42,0,3.098,-3.19,85.010002,0
2018-02-08,89.709999,89.879997,84.760002,85.010002,79.855171,55628700,90.23,-0.02,61.15,-1.04,1.42,0,3.092,-0.19,88.18,1
2018-02-09,86.300003,88.93,83.830002,88.18,82.832954,63499100,90.44,0.23,59.2,-3.19,1.42,0,3.0435,-1.57,89.129997,1
2018-02-12,88.739998,89.779999,87.93,89.129997,83.725327,35720300,90.21,-0.25,59.29,0.15,1.42,0,3.0965,1.74,89.830002,1
2018-02-13,88.93,90,87.800003,89.830002,84.382881,26407700,89.7,-0.57,59.19,-0.17,1.42,0,3.1715,2.42,90.809998,1
2018-02-14,88.510002,90.989998,88.410004,90.809998,85.704178,34960900,89.12,-0.65,60.6,2.38,1.42,0,3.245,2.32,92.660004,1
2018-02-15,91.209999,92.720001,90.620003,92.660004,87.45015,27823900,88.59,-0.59,61.34,1.22,1.42,0,3.2545,0.29,92,0
2018-02-16,92.449997,93.5,91.800003,92,86.827263,30596900,89.1,0.58,61.68,0.55,1.42,0,3.258,0.11,92.720001,1
2018-02-20,91.480003,93.059998,91.010002,92.720001,87.50679,30911700,89.72,0.7,61.9,-0.77,1.42,0,3.2015,-1.73,91.489998,0
2018-02-21,92.980003,93.360001,91.489998,91.489998,86.345947,26922500,90,0.31,61.68,-0.36,1.42,0,3.226,0.77,91.730003,1
2018-02-22,92.050003,92.730003,91.360001,91.730003,86.572449,24392800,89.74,-0.29,62.77,1.77,1.42,0,3.2505,0.76,94.059998,1
